id,amount,amount_label,vendor,vendor_score,vendor_label,invoice_number,invoice_number_label,bill_date,bill_date_label
52606634,2638.0,2638.0,rc construction,0.9052430987358092,RC Construction,,,17 jul 2018,2018-07-17 00:00:00
51754338,10.0,10.0,digital pacific,0.959382176399231,Digital Pacific,873397,873397a,"december 18, 2016",2016-12-18 00:00:00
52763693,653.55,0.0,md aesthetics,0.8390846252441406,Daily Sales,,,08/25/2018,2018-08-25 00:00:00
51324338,210.34,210.34,cox communications,0.5946377515792847,Cox Communications,,,"jul 04, 2018",2018-07-04 00:00:00
52623353,550.0,550.0,armadillo tire,0.7828754186630249,Armadillo,,,30-09-2017,2018-08-24 00:00:00
50719063,46.49,46.49,alberni,0.5578940510749817,Alberni Power & Marine,97445A,97445A,"apr. 23, 2018",2018-04-23 00:00:00
51577104,59.0,59.0,the girl up front,0.9086273312568665,The Girl Up Front,2222,2222,"tue, jul 31, 2018",2018-08-02 00:00:00
50948080,13.75,13.75,proviso,0.9611842036247252,Proviso Pty Ltd,291320187,291320187,8/24/2018,2018-08-24 00:00:00
51821063,100.0,100.0,amelia brown,0.992820918560028,Amelia Brown,061320,061320,27/07/18,2018-07-27 00:00:00
52749330,3947.51,3947.51,turning point innovations,0.9724249839782716,Turning Point Innovations,,,12/08/2018,2018-08-12 00:00:00
52231498,197.06,197.06,nova,0.7932715415954591,Janssen Bio Advance,INV0000033138,INV0000033138,15 march 2018,2018-03-15 00:00:00
50809956,570.68,570.66,wired automotive,0.8966139554977417,Wired Automotive Electrics,INV-0074,74,07/27/2018,2018-08-13 00:00:00
51849766,27.59,27.59,uberx,0.9919584393501282,Uber,,,06/15/18,2018-06-15 00:00:00
50244990,36.5,36.5,act data services,0.9868443608283995,Act Data Services,19359,19359,aug 14 2018,2018-08-14 00:00:00
51000889,4096.8,4096.8,mike may,0.6427481174468994,Mike May,,,"march 6, 2018",2018-03-06 00:00:00
50224346,,5.0,suncoastfresh,0.9938306212425232,Suncoast Fresh,801731,801731,08/07/2018,2018-07-08 00:00:00
50858649,22.05,22.05,microsoft,0.9985980987548828,Tayber Yastremski,E020068ICT,E020068ICT,07/06/2018,2018-07-06 00:00:00
52569362,350.0,350.0,pivotal software,0.6792706251144409,Pivotal Tracker,,,11 jun 2018,2018-06-11 00:00:00
52203440,157.56,157.56,sector nine distribution,0.94187194108963,Sector Nine Distribution,10701,,08/22/2018,2018-08-22 00:00:00
52245773,20137.04,20137.04,us foods,0.98940110206604,"US Foods, Inc.",,STATEMENT,"aug 21, 2018",2018-08-21 00:00:00
50655865,15.9,15.9,ls screening,0.9770975708961488,LS Screening LLC,69058,69058,16/08/2018,2018-08-16 00:00:00
52034997,3664.0,3664.0,thebedrock,0.7928876876831055,Bedrock,15984,15984,,2018-08-22 00:00:00
51615062,1795.97,1795.97,plusone company,0.9729081988334656,PlusOne,7397,7397,"jul 13, 2018",2018-07-13 00:00:00
51984949,166.64,166.64,leclair decor,0.9336386919021606,Freightcom,,FC0302136,"april 25, 2018",2018-04-25 00:00:00
51994743,150.0,150.0,anna rosa castro,0.9124077558517456,Anna Rosa Castro,,09/14/2018_AC,"august 19, 2018",2018-08-19 00:00:00
50625415,4020.5,4020.5,barmac,0.9695212841033936,Barmac,126566,126566,"may 31, 2018",2018-05-31 00:00:00
51868241,15908.47,15908.47,serbiz,0.9978051781654358,SERBIZ Inc.,2018-08-12,2018-08-12,01/08/18,2018-08-01 00:00:00
50657046,1603.33,1603.33,belay,0.7374447584152222,Belay,,,08/09/18,2018-08-09 00:00:00
51912882,3663.46,18063.46,rittman mead america,0.9110172390937804,Rittman Mead,,RMA000824,"august 8, 2018",2018-08-08 00:00:00
51998517,83.74,83.74,apple,0.9518389701843262,APPLE,,,2018 / 08 / 20,2018-08-20 00:00:00
52283572,,86.95,,,FMV,,,"july 6, 2018",2018-07-06 00:00:00
51172428,90.0,90.0,newsquest media group,0.9246376752853394,Newsquest Media Group,,25700887,"mon, aug 27, 2018",2018-08-27 00:00:00
51158145,991.9,991.9,telstra,0.9845257401466372,Telstra,T311,,08/17/2018,2018-08-17 00:00:00
51589283,400.25,400.25,menkes rental suites management,0.7259445190429688,Menkes Rental Suites Management Inc.,,,05/18/18,2018-06-15 00:00:00
52602649,,15324.42,bmo,0.606157124042511,BMO,,,08/13/18,2018-08-13 00:00:00
50576848,82.2,82.2,petro-canada,0.9902224540710448,Petro Canada,,,"thu, aug 9, 2018",2018-08-09 00:00:00
52623680,,858.5,terrace electric,0.9602295160293579,Supporting Strategies,,,01 aug 2018,2018-08-01 00:00:00
51854648,31344.0,31344.0,kainero media group,0.991973876953125,Kainero Media Group Limited,06387,06387,21 august 2018,2018-08-21 00:00:00
52721663,126.0,126.0,carpenter brothers,0.7436205148696899,Carpenter Brothers Inc.,569224,569224,"august 11, 2018",2018-08-11 00:00:00
51666363,133.05,133.05,originenergy,0.9986435770988464,Origin Energy,163 001 227 596,163 001 227 596,08/16/2018,2018-08-16 00:00:00
50815239,96.28,96.28,leavainbakery@gmail,0.9051628112792968,Leavain Bakery,00333122,00333122,21/05/2018,2018-05-21 00:00:00
50239175,378.0,1137.7,,,VincesMarket,2613,2613,11 30 2017,2017-11-30 00:00:00
52534019,515.97,515.97,king taco restaurants,0.9998700022697448,"King Taco Restaurants, Inc.",000362242,000362242,"mon, may 8, 2017",2017-05-08 00:00:00
50790440,795.0,795.0,creative ideas catering sf,0.9926443696022034,Creative Ideas Catering SF,1806,1806,"august 24, 2018",2018-08-24 00:00:00
50531738,,140.7,,,Aircraft Spruce Canada,72796,865151,6/5/2018,2018-06-05 00:00:00
52859605,1430.0,1430.0,smart structures au,0.9268366098403932,Smart Structures,INV-697,LL-INV-697,8/14/18,2018-08-14 00:00:00
50798765,,107.5,imaging,0.5460500121116638,Lp Pineapple Inc.,,,"august 13, 2018",2018-08-13 00:00:00
51150875,99.0,99.0,masters media,0.9441667199134828,Masters Media,6JT03450G4541234S,41234S,8/9/2018,2018-08-09 00:00:00
52601358,149.99,127.49,amazon,0.9612026810646056,Amazon,111-9844314-6113824,111-9844314-6113824,08/06/2018,2018-08-06 00:00:00
52533998,216.65,216.65,king taco restaurants,0.9997550249099731,"King Taco Restaurants, Inc.",000361848,000361848,"tuesday, august 7, 2018",2018-08-07 00:00:00
50943615,49.72,49.72,teledynamics,0.9781305193901062,TeleDynamics,0005646066,0005646066,04/22/2017,2017-04-22 00:00:00
53019570,39.8,39.8,uber,0.9937930703163148,Uber,,,"august 6, 2018",2018-08-06 00:00:00
50995151,,41.9,,,New York Bagel Cafe,,,7/04/18,2018-07-04 00:00:00
50935562,27.53,27.53,amazon,0.9978329539299012,Amazon.ca,701-3148813-2225032,701-3148813-2225032,20 october 2017,2017-10-20 00:00:00
51585882,686.63,686.63,fedex,0.9988580942153932,FedEx,1-720-14454,1-720-14454,"august 12, 2018",2018-08-12 00:00:00
52109578,11542.51,8737.09,nick bain,0.80116868019104,Nick Bain,,201808-5,2018/07/21,2018-07-21 00:00:00
52557552,619.59,619.59,qantas,0.9954438209533693,Qantas,NBF6KC,NBF6KC,17/08/2018,2018-08-17 00:00:00
51603730,58.99,58.99,the wright company electrical and maintenance services,0.9320157170295716,The Wright Company Electrical,30845,30845,2018-08-02,2018-08-02 00:00:00
52624885,1952.0,1952.0,total equipment rental,0.9482232928276062,Total Equipment Rental,1130165001 ,1130165001,01-08-2018,2018-01-08 00:00:00
50763503,315.0,315.0,smc accounting service,0.9447159171104432,Smc Accouting Service,2018-105,2018-105,07/08/2018,2018-07-08 00:00:00
52897311,7635.76,7635.76,synnex,0.9187923669815063,Synnex Corporation,96831009,96831009,"27 june, 2018",2018-06-27 00:00:00
50590028,5369.2,5369.2,greenfield organix,0.6996962428092957,Greenfield Organix dba Loudpack,,PO 669,"august 13, 2018",2018-08-13 00:00:00
50768722,10.91,10.91,ferguson enterprises,0.9891627430915833,Ferguson Enterprises Inc.,,,8/2/2018,2018-08-02 00:00:00
50756360,5856.84,5856.84,hydraulics network,0.9804912209510804,Hydraulics Network,0947,,08/20/2018,2018-08-20 00:00:00
50801913,,594.0,,,MWC Practice Management,,18145,8/2/2018,2018-08-02 00:00:00
53022242,195.21,195.21,mobil,0.9472247362136841,Mobil,,,07/03/2018,2018-08-15 00:00:00
53093854,220.0,220.0,sunshine coast 4wd wreckers,0.8860695362091064,Sunshine Coast,23481,23481,"sat, jul 28, 2018",2018-07-28 00:00:00
51460372,250.0,250.0,brighton dental,0.7619134783744812,Plooto,,,aug02/18,2018-08-02 00:00:00
52451076,32.32,32.32,tech data,0.96764075756073,Tech Data Ltd,8141475702,8141475702,,2018-05-01 00:00:00
50664420,444.96,444.96,pigs ears beers,0.748917281627655,Pigs Ears Beers,SO15055,SO15055,08/23/2018,2018-08-23 00:00:00
51927944,143.43,143.43,spark.co.nz,0.973868191242218,Spark,,Aug 18,7/30/2018,2018-07-30 00:00:00
51451925,108.9,108.9,limon health & beauty spa,0.9329848289489746,Limon Shop,221,,"august 23, 2018",2018-08-23 00:00:00
52541441,1380.5,1380.5,bowens,0.8747511506080627,Bowens,14720965,14720965,12/10/14,2014-10-12 00:00:00
50994954,3000.0,3000.0,damir daughter,0.6228545308113098,Damir Skeric,,,"august 01,2018",2018-08-01 00:00:00
51392095,54.67,54.67,yahoo,0.9642528295516968,Pets Stop,69814,69814,8/15/2018,2018-08-15 00:00:00
52572936,543.09,543.09,romteck grid,0.9773295521736144,romteck grid,00160808,00160808,24/04/2018,2018-04-24 00:00:00
52808195,666.0,666.0,matt braden photo,0.96979558467865,Matt Braden Photo,626,626,06/11/18,2018-06-11 00:00:00
51297981,324.0,324.0,a-team pump & control service,0.9645869135856628,A-Team Pump & Control Services LLC,18-141,18-141,8/4/2018,2018-08-04 00:00:00
52248535,550.0,550.0,sophie banner,0.9950497150421144,"American Burger Morehead, Llc",453,453,08/15/2018,2018-08-15 00:00:00
52319901,136.13,136.13,nab gingko intelligence,0.9074143767356871,Gingko It,7409,7409,8/13/2018,2018-08-13 00:00:00
50848308,767.25,767.25,abuzz couriers,0.8610461950302124,Abuzz Couriers Pty Ltd,INV-0171,INV-0171,08 august 2018,2018-08-08 00:00:00
51515579,242.95,242.95,ontario,0.7478887438774109,Climate Works 1799541 Ontario,15028,15028,08-08-2018,2018-08-08 00:00:00
51399920,5.0,5.0,google,0.994351089000702,Google,3481859206,3481859206,8/9/2018,2018-08-09 00:00:00
52966000,,5000.0,winterllp,0.9720503687858582,Winter LLP,2262,,"april 5, 2018",2018-04-05 00:00:00
51591762,2903.25,2903.25,precisioninteriors,0.7014830112457275,Precision Interiors,1028,1028,,2018-08-26 00:00:00
51294662,1916.63,1916.63,waxcenter,0.9203725457191468,Waxcenter.com,SIN285399,SIN285399,22.08.2018,2018-08-22 00:00:00
50279785,2254.71,2254.71,merchant services,0.7851415872573853,Merchant Service,,,,2018-08-02 00:00:00
51530755,2425.12,2425.12,joaq,0.7525179982185364,"Goodman Distribution, Inc.",147456,181303,08/07/2018,2018-08-07 00:00:00
52724076,56.67,56.67,praxair,0.9938948750495912,Praxair,84681332,84681332,10 aug 2018,2018-08-10 00:00:00
52985274,,1752.59,,,Bayswood Timber,,162941,7/08/2018,2018-08-07 00:00:00
52735588,5859.82,5859.82,kristen rivoli interior design,0.9768468141555786,"Kristen Rivoli Interior Design, LLC",11990,11990/GRA,23.08.2018,2018-08-23 00:00:00
52949908,14.65,14.65,uber,0.9947693347930908,Uber,,,"jul 31, 2018",2018-07-31 00:00:00
51745107,1587.75,1587.75,bms mitre 10,0.9793114662170408,BMS Mitre 10,9-1666073,9-1666073,06 april 2018,2018-04-06 00:00:00
51750369,13196.64,13196.64,,,PAYROLL,,081018 PAYDAY,"16, 2018",2018-08-14 00:00:00
53005183,184.0,184.0,laundryaustralia,0.8758912086486816,Laundry Australia,,,07/28/2018,2018-07-28 00:00:00
50252811,250.0,250.0,pooja chaudhary,0.9789397716522216,Upwork_STAT,T185705291,T185705291,31/07/2018,2018-07-31 00:00:00
52378746,120.0,120.0,code climate,0.8902661800384521,Code Climate,IN_DS2OU0ACJXRA4H,in_DS2Ou0ACJxra4H,"august 17, 2018",2018-08-17 00:00:00
53007967,-17.39,-17.39,swbroadband,0.9027095437049866,Swbroadband,61388,61388,jul 26/18,2018-07-26 00:00:00
51229049,130.0,130.0,harvest,0.991071343421936,Harvest,H-6A8FDD3F19,H-6A8FDD3F19,25-07-2018,2018-07-25 00:00:00
51561469,6.65,6.65,uber,0.9955517649650574,Uber,,,"thu, aug 2, 2018",2018-08-02 00:00:00
52014460,79.0,79.0,nevada business magazine,0.8584550023078918,Nevada Business Magazine,,,08/16/18,2018-08-16 00:00:00
51196575,1393.5,1393.5,gary morehead dba morehead,0.8009418845176697,Gary Morehead DBA,534,534,"jul 02, 2018",2018-07-13 00:00:00
52999095,,38449.91,,,Westamerica Bank,,,8/1/2018,2018-08-01 00:00:00
51314847,2057.0,2057.0,j-maxx plumbing services,0.76590496301651,J-Maxx Plumbing Services,INV-0255,INV-0255,8/21/2018,2018-08-21 00:00:00
51356660,1006.29,1006.29,homeaway,0.7824629545211792,HomeAway,16030739-75,,"may 31, 2018",2018-05-31 00:00:00
51545492,-493.9,493.9,milnsbridge it voice & data,0.9597166776657104,Milnsbridge,27600,27600,"august 10, 2018",2018-08-10 00:00:00
50217891,265.38,265.38,alternativebeauty,0.9421026110649108,Alternativebeauty,0000270209,0000270209,08/09/2018,2018-08-09 00:00:00
51261881,4799.6,4799.6,bmo,0.6876832842826843,BMO,,,07/11/2018,2018-07-11 00:00:00
51279182,43.88,43.88,,,henry schein,,,8/27/2018,2018-08-27 00:00:00
51169745,93.75,93.75,tech team,0.9610831141471864,Tech Team,8067,8067,12/30/17,2017-12-30 00:00:00
50223205,214.5,214.5,tle electrical,0.9606900215148926,Tle Electrical,500187-245,500187-245,08/15/2018,2018-08-15 00:00:00
52456329,254.0,254.0,,,ASIC,,,"fri, aug 17, 2018",2018-08-17 00:00:00
52577990,140.0,140.0,maribel pineda,0.9077141880989076,JMac Services,,,11/30/16,2016-11-30 00:00:00
50866065,,32.19,moteurs electriques motair,0.7200029492378235,MOTAIR,,,6 aug 2018,2018-08-06 00:00:00
52171383,270.53,270.53,key sun laboratories,0.9336387515068054,Key Sun Laboratories Pty Ltd,,,"apr 27, 18",2018-04-27 00:00:00
50257828,136.01,136.01,telus,0.948386013507843,TELUS,,,,2018-08-23 00:00:00
50462562,6000.0,6000.0,innamorato services,0.897818386554718,Innamorato Services LLC,DRIVEWAY,,"21 august, 2018",2018-08-21 00:00:00
52496578,7.36,7.36,williams lumber and home,0.916543185710907,Williams Lumber and Home,609166/1,609166/1,10/08/2018,2018-08-10 00:00:00
52541844,244.92,244.92,bell,0.9565032720565796,Bell,,,2018-08-02,2018-08-02 00:00:00
52835967,25.49,25.49,indeed,0.8293102383613586,Indeed,16753271,16753271,08/02/2018,2018-08-02 00:00:00
50550885,182.19,182.19,c & j e le c tric - w a v e rly,0.9830885529518129,C & J E lectric - Waverly,,17454,jul 18,2018-07-12 00:00:00
52519254,3.68,3.68,uber,0.9959253668785096,uber,,,07/31/2018,2018-07-31 00:00:00
50601647,,1792.4,beaumont tiles orange,0.9008734822273254,beaumont tiles orange,34280,,,2018-08-23 00:00:00
51781359,9750.0,16369.0,lbmc,0.7292712926864624,LBMC,10492462,08/10/2018_7352,10/07/2018,2018-07-10 00:00:00
51645741,1216.89,1216.89,laguna,0.9061489701271056,"Fci Lender Services, Inc.",,,"august 11, 2018",2018-08-11 00:00:00
52648301,2541.3,2541.3,united maple logistics,0.9981685876846312,United Maple Logistics,565533,565533,01/08/18,2018-08-01 00:00:00
50212492,231.0,231.0,bilanz,0.9717836380004884,Bilanz,INV-1770,INV-1770,08/17/2018,2018-08-17 00:00:00
50641922,918.5,918.5,timesnewsgroup,0.6824854612350464,Timesnewsgroup.com,00093487,,"june 21, 2017",2017-06-21 00:00:00
51796793,4867.2,4867.2,ameritex pipe & products,0.9870670437812804,Ameritex Pipe & Products,C0002719,C0002719,"aug 11, 2018",2018-08-11 00:00:00
51874219,76.24,76.24,wtc parts canada,0.9835570454597472,Wtc Parts Canada,508457472,508457472,07/31/2018,2018-07-31 00:00:00
50560284,1118.02,1118.02,nuflours,0.9989914298057556,NuFlours,9391,9391,31 jul. 2018,2018-07-31 00:00:00
51195463,133.0,133.0,zoom video communications,0.9185923933982848,Zoom Video Communications Inc.,,,"august 14, 2018",2018-08-14 00:00:00
50680357,15000.0,15000.0,fractal river,0.9799855351448059,Fractal River,2018SH07,2018SH07,"august 20, 2018",2018-08-20 00:00:00
51279123,,272.76,national general insurance,0.8106931447982788,National General,,,08/05/18,2018-08-05 00:00:00
50941040,771.56,771.56,cfa i laminate,0.7374537587165833,CFA Laminate Pty Ltd,,,,2017-06-30 00:00:00
50225785,319.88,319.88,officeworks.coni,0.6869237422943115,Officeworks,,,08/17/18,2018-08-17 00:00:00
50920605,386.32,386.32,,,Body Plus,0000594122,0000594122,"jul 31, 2018",2018-07-31 00:00:00
52539435,,58.01,,,Office Depot,,185789413001,"december 31, 2017",2017-12-31 00:00:00
50904130,10750.0,10750.0,cast,0.9794169068336488,Cast Inc,CL3655,CL3655,8/09/18,2018-08-09 00:00:00
51421736,8.65,8.65,apple,0.9903365969657898,Apple,215221429226,215221429226,"august 1, 2018",2018-08-01 00:00:00
53013995,2252.17,19341.42,siarc,0.9608420133590698,Siarc Inc Oil & Fuel,,,8/07/2018,2018-08-07 00:00:00
50185548,114.64,114.64,bell,0.9618226885795592,Bell,,,03/08/2018,2018-08-06 00:00:00
51951850,167.6,167.6,heritage food service group,0.9653999209403992,Heritage Food Service Group Inc.,0005153325-IN,0005153325-IN,03 august 2018,2018-08-03 00:00:00
51480217,96.63,96.63,swiiss/harveys,0.8322857618331909,Swiss Chalet Harveys,,,22 august 2018,2018-08-22 00:00:00
51354042,50.0,2015.09,harvey norman,0.9821887612342834,Harvey Norman,2445004,2445004,02/07/2018,2018-03-07 00:00:00
50242094,45.0,45.0,craigslist,0.9723834991455078,Craigslist,6656639074,,08/08/18,2018-08-08 00:00:00
51410533,208.43,208.43,morgan james,0.9789881110191344,Morgan James,4312516,4312516,6/08/2018,2018-08-06 00:00:00
52207973,354.0,354.0,openultra felixstowe,0.9743590354919434,Openultra,INV2679,INV2679,13/07/2018,2018-07-13 00:00:00
51986176,125.0,125.0,jackson,0.5027883052825928,Interac,,,15/08/2018,2018-08-15 00:00:00
53045271,25000.0,25000.0,the vimy foundation,0.9977399110794068,The Vimy Foundation,5291,5291,08/15/2018,2018-08-15 00:00:00
52327704,147.92,147.92,aaccountancy insurance,0.9739996790885924,Accountancy Insurance Pty Ltd,10102568,10102568,2018-07-16,2018-07-16 00:00:00
52235267,70.56,70.56,oddity kombucha,0.986405611038208,Oddity Kombucha,2018-285,2018-285,"august 12, 2018",2018-08-12 00:00:00
51264716,24.0,24.0,j2 global ireland,0.9793458580970764,J2 Global Ireland Limited,37631927,37631927,8/15/2018,2018-08-15 00:00:00
50315594,6154.52,6154.52,king taco restaurants,0.9997785687446594,"King Taco Restaurants, Inc.",000360086,000360086,14/8/2018,2018-08-14 00:00:00
50170392,130.0,130.0,office furniture warehouse,0.98957359790802,Office Furniture Warehouse,125158,125158,july 2018,2018-07-01 00:00:00
50638509,4868.54,4868.54,benczik team realty,0.6033475995063782,120 Main St,,,,2018-08-13 00:00:00
51295512,32.82,32.82,homedepot,0.6734589338302612,Home Depot,,57996,01/07/2018,2018-07-31 00:00:00
51529958,51607.69,51607.69,bmo,0.6624007821083069,BMO Bank of Montreal,,,"august 3, 2018",2018-08-03 00:00:00
51243822,1039.5,1039.5,russell & sons,0.9718865752220154,Russell & Sons,608284,608284,"wed, aug 22, 2018",2018-08-22 00:00:00
52216761,90.0,90.0,,,TD Canada Trust,,,8/14/18,2018-08-14 00:00:00
50935721,42.41,42.41,uber,0.9942004084587096,Uber,,,feb-14-2018,2018-02-14 00:00:00
50169214,695.0,695.0,barracudamsp,0.7103728652000427,Intronis Technologies,018-629342-629173,018-629342-629173,1/06/2018,2018-06-01 00:00:00
51984189,111.23,111.23,285 manchester,0.8628092408180237,ATD-Credit,,S112461989,8/20/2018,2018-08-20 00:00:00
50304005,607.04,607.04,efax,0.9223768711090088,Teleflex,,,08/07/2018,2018-08-07 00:00:00
50830977,19.6,19.6,att,0.9810346961021424,AT&T,,,08.15-18,2018-08-15 00:00:00
52130938,1492.0,1492.0,foam south,0.989478886127472,Taylor Basement 2018,5836,5836,"friday, august 10, 2018",2018-08-10 00:00:00
51909205,135.6,135.6,yow popcorn co,0.9571570754051208,Yow Popcorn,1310,1310,01 aug 2018,2018-08-01 00:00:00
51565855,9605.0,9605.0,oak & rumble,0.977034032344818,OAK & Rumble,18-035,18-035,11/7/2017,2017-11-07 00:00:00
51198189,5.14,5.14,a pro plumbing supply,0.9944789409637452,A Pro Plumbing Supply,64230,64230,10 jul 2018,2018-07-10 00:00:00
52466413,20.0,20.0,corporations,0.8908376693725586,BMO Bank,6580862-R02,6580862-r02,8/10/2018,2018-08-10 00:00:00
51507839,62.98,62.98,paul's ace hardware,0.9987616539001464,Paul's Ace Hardware,883749/6,883749/6,18.08.18,2018-08-18 00:00:00
52014913,101.95,101.95,professional paint center,0.9952185750007628,Professional Paint Center,W0226710,W0226710,"august 13, 2018",2018-08-13 00:00:00
53058013,16.32,1079.55,,,Oak Beverages Incorporated,958027,958027,08/21/18,2018-08-21 00:00:00
50704528,1056.41,1056.41,american airlines,0.9854735136032104,American Airlines,,,"july 17, 2018",2018-07-18 00:00:00
50827160,142.21,142.21,pack my product sales,0.8608041405677795,Pack My Product Sales,300039260,300039260,21-08-2018,2018-08-21 00:00:00
52640246,,36.6,uniform express,0.9963695406913756,Uniform Express,348667,348667,07/13/2018,2018-07-13 00:00:00
50553673,,500.0,randi,0.5665310621261597,Jen Froning,2018,2018 Summer Immersion,"april 16, 2017",2017-04-16 00:00:00
50590661,123.8,123.8,brownes foods,0.8532140851020813,Brownes,14392586,14392586,28 august 2018,2018-08-28 00:00:00
50137124,90.0,90.0,bm consulting,0.94963276386261,BM Consulting,BMC3496,BMC3496,2016-06-15,2016-06-15 00:00:00
50638184,395.5,395.5,surebooks business services,0.9695563316345216,SureBooks Business Services,1164,1164,27.08.2018,2018-08-27 00:00:00
51979749,1073.5,1073.5,pnklaw,0.9010940194129944,Piasetzki Nenniger Kvas LLP,53631,53631,06/15/2017,2017-06-15 00:00:00
51601685,24512.25,18817.12,von tobel corporation,0.8133768439292908,Von Tobel,181,181,31 jul 18,2018-07-31 00:00:00
50255298,3000.0,3000.0,2059401ontarioinc,0.7237438559532166,Payments Received,,2059401ONTARIOINC,"may 04, 2018",2018-04-12 00:00:00
52383976,2.77,2.77,u.s. oil,0.9961597919464112,US Oil,201801298843,201801298843,08/18/2018,2018-08-18 00:00:00
51788057,142.0,142.0,dennis p. block & associates,0.9924128651618958,Dennis P. Block & Associates,169850,169850,07/08/2018,2018-08-07 00:00:00
52840070,-20.0,20.0,hubdoc,0.9997425079345704,Hubdoc,111892,111892,"monday, august 20, 2018",2018-08-24 00:00:00
50236976,4852.5,4852.5,synnex,0.9177145957946776,Synnex,96172203,96172203,08/14/2018,2018-08-14 00:00:00
52572117,207.581,207.58,telstra,0.9757156372070312,Telstra,1365980211,1365980211,08/13/2018,2018-08-13 00:00:00
50671801,90.0,90.0,linode,0.9362489581108092,Linode,7679922,7679922,07/26/18,2018-07-26 00:00:00
51660614,432.23,432.23,idaho central,0.5560051202774048,Square,,,8/7/2018,2018-08-07 00:00:00
52707932,196.65,196.65,wtc parts canada,0.9855887293815612,Wtc Parts Canada,508458013,508458013,12.08.18,2018-08-12 00:00:00
51227145,15.4,15.4,alltel,0.9956160187721252,alltel,66207150,66207150,01/08/18,2018-08-01 00:00:00
52990405,489.33,489.33,bowens,0.9527549743652344,Bowens,14721419,14721419 Di Stasio,01/25/18,2018-01-25 00:00:00
52475917,851.63,851.63,whole aveda oldsmar,0.9526685476303101,Oldsmar Monthly Reports,,,08-27-2018,2018-08-27 00:00:00
50167472,322.35,322.35,heber city carquest,0.6285268068313599,Car Quest Heber City,,15341-11846,02/08/18,2018-08-02 00:00:00
